,Sumerian - Input,English - Exact,English - Predicted
910,NUMB ud adara,"NUMB adara-nanny ,","NUMB nanny goat , grass-fed ,"
911,ki ludingira,from Ludingira,from Lu-dingira
912,catili,by Šat-ilī ;,"let him ,"
913,NUMB lalkuda,10- ( troop ) of Lalkuda ;,"NUMB ( mana wool for ) Ku’e ,"
914,NUMB lahutum,NUMB bricks by Lahutum ;,"NUMB ( mana wool for ) Ku’e ,"
915,NUMB,"NUMB bricks ,",( Partial sum : ) NUMB .
916,NUMB ahuni,10- ( troop ) of Ahuni ;,"NUMB Aḫuni ,"
917,cunigin NUMB sar NUMB gin NUMB sig,"total : NUMB ( brick ) -sar NUMB shekels bricks ,","together : NUMB sar NUMB shekels , NUMB of brick ,"
918,a NUMB,"at labor of NUMB ( bricks per workday ) ,","labor of NUMB ( bricks per workday ) ,"
919,gemebi NUMB gin u NUMB,"the female laborers involved : NUMB and NUMB shekels workdays ,","the female laborers involved : NUMB days NUMB shekels ,"
920,ce NUMB silata bahun,"at NUMB sila3 per ( day ) hired ,","hired at NUMB sila3 barley each ( workday ) ,"
921,cebi NUMB sila NUMB gin,"the barley involved : NUMB sila3 NUMB shekels ,","its barley : NUMB sila3 NUMB shekels ,"
922,a sig gaga,"labor of carrying bricks ,","labor of brick transportation ,"
923,ekibagara picahdingir,"( for ) the replacement house of Pišah-ilim ,",for the replacement house of the cook
924,muku mea,"delivery of Simat-Ea ,",for the place of the great fear
925,giri ickurtillat,via Adad-tillatī ;,via Bululu ;
926,mu cusuen lugale naruamah enlil ninlilra munedu,"year : “ Su-Suen , the king , Great-stele for Enlil and Ninlil erected . ”","year : “ Šu-Suen , the king , erected great-stele for Enlil and Ninlil . ”"
927,culgikiursakalamaka,Šulgi-ki'ursa-kalama,"let him ,"
928,lu tagani,"his person in charge of sacrifices ,","a man has died ,"
929,alanani,a statue of him ( Šulgi ),and a stone statue of himself
930,mudu,he created .,build .
931,alana,The statue :,"let him ,"
932,a cuma,Given Strength,"labor of wintertime ,"
933,nindara,"by Nindara ,","For Nindara ,"
934,zicagal irina,"The Inspiration of His City ,","may he obliterated ,"
935,KA bura,"the opening ( ? ) of the bowl ,","… Apisal ,"
936,ki anaka aba cu tum,dealing with the cows in the Place of An .,"From Akala from the previous state ,"
937,u ezemaka,On the day of the festival,"and Nawar ,"
938,e ninmarka,"in the temple of Ninmar ,","the house of Nindara ,"
939,sag kisala daba,when the first ( offerings ? ) are taken into the courtyard :,"the persons he had stay ,"
940,NUMB dug dida,"NUMB jugs of sweet-wort ,","NUMB jugs of wort ,"
941,NUMB dug kac,"NUMB jugs of beer ,","NUMB jug of wort ,"
942,NUMB zi lugal,"NUMB and NUMB of royal flour ,","NUMB flour , king of the royal ( measure ) ,"
943,NUMB gada gadul,NUMB linen cover,"NUMB linens , ša3-ga-du3 ,"
944,NUMB gada guza,"and NUMB linen ( cloth ) for the throne ,","NUMB linens , guz-za ,"
945,dardu erin u gabra erin,"cedar sprouts ( ? ) and cedar 'herders' ,","( for ) the scribes , food of the work-troops ,"
946,NUMB mana ara NUMB,"NUMB times NUMB minas of them ,","NUMB mana willow ,"
947,NUMB ku aldara,"NUMB split fish ,","NUMB fish , agul ,"
948,NUMB mun gur lugal,"NUMB royal gur of salt ,",NUMB ( ? ) barig NUMB ( ? ) ban2
949,NUMB naga gur,"NUMB of soda ,",NUMB of alkali-plant
950,dug sila |IGI×X|,"quart jugs of … ,","the banks of Ur-Nanše ,"
951,NUMB ku X,"NUMB ( ? ) silver … ,","NUMB … fish ,"
952,ku aba,"fish of the sea ,",fish of the Sea
953,har X,"silver rings ,","the land of Sigriš ,"
954,NUMB dug X X,"NUMB jug of … oil ,",NUMB jug of wort …
955,nigba gacamkam,were the gifts of the artisans .,royal gift .
956,girsu ce ilaka,"In Girsu , in the <month> of barley transporting ,","Girsu of Girsu , barley winnowed ;"
957,ma cu dua,a properly equipped boat,Finished received ( ? ) ;
958,guabata dudam,"which is to be caulked ( on its return ) from Gu'abba ,","debits , Utu ,"
959,namlubeluda,the office of the 'master of ceremonies',"let him ,"
960,eta izi la,( and ? ) the NUMB who bears fire from the temple,their Temple and donkeys
961,gacamkam,belong to the artians .,"let him ,"
962,bala u NUMB,A term of NUMB days,"the bala , ordNUMB day ;"
963,u NUMB,and a one-third ( prebend ),"on the ordNUMB day ( of the month ) ,"
964,e kiesaga,"in the temple of Ki-es ,","house of the gods ,"
965,e girsuka NUMB,"one-third in the temple of Girsu ,","house of the great gods ,"
966,ma ec ge zal,that when the boat spends the night at the shrine,"all the sacred shrine at the water ( field ) ,"
967,u ma kare tagdabi,and when the boat lands at the quay ;,"and the boats of Magan ,"
968,nigba NUMB,an allotment of NUMB of that,gifts ( of ) these NUMB ( ? ) ;
969,ma niginbarce deabi,"for when the boat is taken to the outer district ,","and the boats of… ,"
970,nigdabi lu nudatuku,these requisitions were owed to no person .,"may he lift him , repayments ,"
971,ur gu udu egal esag,Legs of beef and mutton of the palace and the grain-stores,"but : sheep , sheep , governor of the palace ,"
972,u bara ningirsuka,"and the dais of Ningirsu ,","of Nigar-kidu ,"
973,namcita,"the office of the šita-priest ,","let him ,"
974,kislah cuku agubi,"with its uncultivated land , subsistance plots , holy water ,","… , prebend of Ur-gula ;"
975,esag udu egal,"the grain-store of the palace sheep ,","sheep of the palace , Ekur's ,"
976,ur udu ama siki,"legs of wool-bearing mother sheep ,","the land of the Upper of wool ,"
977,NUMB sila inun,"NUMB quarts of ghee ,","NUMB ( gur ) NUMB sila3 butter oil ,"
978,NUMB zulum lugal,"NUMB of royal dates ,","NUMB dates , royal ( measure ) ,"
979,NUMB gar,NUMB plus NUMB of cheese,"NUMB leather bags ,"
980,NUMB ga,"NUMB of milk ,","NUMB suckling ,"
981,NUMB sila gectin,"NUMB quarts of wine ,","NUMB lamb of Errēšum ,"
982,NUMB pec cergu,"NUMB strings of figs ,","NUMB figs , fresh ,"
983,NUMB hachur cergu,"NUMB strings of apples ,","NUMB ( man ) : E ? -luti ,"
984,ninda kaskal guabace,"food for the jourey to Gu'abba ,","bread , silver , deliveries ;"
985,nigdab gacamkam,are the requisitions of the artisans .,"nigdab ( -offering ) of Akala ,"
986,aca ambar tur,"The field Little Marsh ,","field beer , the field Muru ;"
987,aca kimura,"the field Kimura ,",field Muru ;
988,aca gecgi tur,"the field Little Canebrake ,","field , the field of Ninnudu ,"
989,aca agectina,"Vinegar Field ,",field Muru ;
990,aca X,"the field … ,","at the field , …-new ;"
991,girigena gacamkam,( this ) is the list ( of fields ) of the artisans .,"debits , Utu ,"
992,udu e lah,"The sheep come from ( ? ) the temple ,","sheep of the Anuna house ,"
993,mac inima,"and the goats of the word ,","and credits ,"
994,u uliace,"Forever ,","and Nawar ,"
995,lu gec udun inacumda,"for the NUMB who will put wood into the oven for him ( the king ) ,","who is the man and punting poles ,"
996,luba lammani heme,may I be that man's guardian angel .,"that man is things ( to ) Ninlil ,"
997,mumu hepade,May he invoke my name,"things swore ,"
998,enmu hetare,and tend to me .,"debits , Utu ,"
999,NUMB amar az,NUMB bear cub,NUMB bear cubs
1000,ursuen dumulugal,"( from ) Ur-Suen , the king’s son :","Ur-Suen , prince ,"
1001,mu simurum u lulubu ara NUMB bahul,"year : “ Simurrum and Lullubu for the ordNUMB time was destroyed , ”",year : “ Simurrum and Lullubum for the ordNUMB time were destroyed ; ”
1002,mu NUMB ceba,"NUMB years of rations ,","NUMB of barley rations ,"
1003,girisega ugnim,personnel of Ugnim,"personnel of Šelēbūtum ,"
1004,emeslam,"of the Emeslam ,","let him ,"
1005,X nerigal,the temple of Nergal,and set it apart from … for them .
1006,in gudua,in Kutha .,in the heads of Nig-urum
1007,nin me,"the queen of battle ,","the queen of battle ,"
1008,dam kiaganir,"his beloved spouse ,",his beloved wife
1009,argibilu zabar,her bronze argibil-structure,"he of bronze ,"
1010,e geparakani,of the Gipar temple,"house of the gods ,"
1011,nigkak ce cukura,"accounts ,  barley of distribution ,","accounts of harvest ,"
1012,abamu u urlamma,"Abbamu an Ur-Lamma ,","Abbamu and Lugal-nigzu ,"
1013,mu en inanna mace ipa,year : “ The en- ( priest ) of Inanna by goat was found . ”,Year : “ en ( -priest ) of Inanna was chosen by means of omens ” ( Ibbi-Suen NUMB )
