,Sumerian - Input,English - Exact,English - Predicted
944,NUMB gada guza,"and NUMB linen ( cloth ) for the throne ,","NUMB linens , head ,"
945,dardu erin u gabra erin,"cedar sprouts ( ? ) and cedar 'herders' ,","gabra ( herder ) of worktrooper2 , ploughmen , ox-drivers , and oxen managers"
946,NUMB mana ara NUMB,"NUMB times NUMB minas of them ,",2/3rd mina of silver
947,NUMB ku aldara,"NUMB split fish ,","NUMB silver , agul silver ,"
948,NUMB mun gur lugal,"NUMB royal gur of salt ,",NUMB royal gur of salt
949,NUMB naga gur,"NUMB of soda ,",NUMB of alkali-plant
950,dug sila |IGI×X|,"quart jugs of … ,",the street … ;
951,NUMB ku X,"NUMB ( ? ) silver … ,",NUMB …
952,ku aba,"fish of the sea ,",the sacred foundation ( platform )
953,har X,"silver rings ,",forest Šum-bad-…
954,NUMB dug X X,"NUMB jug of … oil ,",NUMB jug of wort …
955,nigba gacamkam,were the gifts of the artisans .,gift of the new-year ;
956,girsu ce ilaka,"In Girsu , in the <month> of barley transporting ,",", barley of Girsu ;"
957,ma cu dua,a properly equipped boat,"storage facility erected ,"
958,guabata dudam,"which is to be caulked ( on its return ) from Gu'abba ,","Babati ,"
959,namlubeluda,the office of the 'master of ceremonies',"Babati ,"
960,eta izi la,( and ? ) the NUMB who bears fire from the temple,“ The Ninazu ”
961,gacamkam,belong to the artians .,"Babati ,"
962,bala u NUMB,A term of NUMB days,for NUMB workday barge unloaded ;
963,u NUMB,and a one-third ( prebend ),"on the ordNUMB day ( of the month ) ,"
964,e kiesaga,"in the temple of Ki-es ,",house
965,e girsuka NUMB,"one-third in the temple of Girsu ,","NUMB , NUMB workdays ,"
966,ma ec ge zal,that when the boat spends the night at the shrine,
967,u ma kare tagdabi,and when the boat lands at the quay ;,"and the boat of … ,"
968,nigba NUMB,an allotment of NUMB of that,gift .
969,ma niginbarce deabi,"for when the boat is taken to the outer district ,","for the boat of pots to unload ,"
970,nigdabi lu nudatuku,these requisitions were owed to no person .,to another man
971,ur gu udu egal esag,Legs of beef and mutton of the palace and the grain-stores,the hostile territory
972,u bara ningirsuka,"and the dais of Ningirsu ,","and daises of Ningirsu ,"
973,namcita,"the office of the šita-priest ,","Babati ,"
974,kislah cuku agubi,"with its uncultivated land , subsistance plots , holy water ,",NUMB
975,esag udu egal,"the grain-store of the palace sheep ,","sheep of the palace ,"
976,ur udu ama siki,"legs of wool-bearing mother sheep ,","sheep , mother , mother ,"
977,NUMB sila inun,"NUMB quarts of ghee ,","NUMB sila3 ghee ,"
978,NUMB zulum lugal,"NUMB of royal dates ,","NUMB dates , royal ( measure ) ,"
979,NUMB gar,NUMB plus NUMB of cheese,"NUMB dried cheese ,"
980,NUMB ga,"NUMB of milk ,","NUMB suckling male kids ,"
981,NUMB sila gectin,"NUMB quarts of wine ,","NUMB , NUMB ban , NUMB sila of raisins ,"
982,NUMB pec cergu,"NUMB strings of figs ,","NUMB figs , apples ,"
983,NUMB hachur cergu,"NUMB strings of apples ,",NUMB ( mana wool for ) apple-tree wood .
984,ninda kaskal guabace,"food for the jourey to Gu'abba ,",to Guabba
985,nigdab gacamkam,are the requisitions of the artisans .,"nigdab ( -offering ) of “ Holy Hill , ”"
986,aca ambar tur,"The field Little Marsh ,",… the pens .
987,aca kimura,"the field Kimura ,",field Muru ;
988,aca gecgi tur,"the field Little Canebrake ,",( in the field ) Kamari ;
989,aca agectina,"Vinegar Field ,",field Muru ;
990,aca X,"the field … ,","field Bur… ,"
991,girigena gacamkam,( this ) is the list ( of fields ) of the artisans .,"Babati ,"
992,udu e lah,"The sheep come from ( ? ) the temple ,","sheep and head-ploughmen of the house of Ninḫursag ,"
993,mac inima,"and the goats of the word ,",
994,u uliace,"Forever ,","and …-zi ,"
995,lu gec udun inacumda,"for the NUMB who will put wood into the oven for him ( the king ) ,",a man’s house
996,luba lammani heme,may I be that man's guardian angel .,that person
997,mumu hepade,May he invoke my name,"Mumu , the potter ,"
998,enmu hetare,and tend to me .,"Babati ,"
999,NUMB amar az,NUMB bear cub,NUMB bear cubs
1000,ursuen dumulugal,"( from ) Ur-Suen , the king’s son :","Ur-Suen , the prince ,"
1001,mu simurum u lulubu ara NUMB bahul,"year : “ Simurrum and Lullubu for the ordNUMB time was destroyed , ”",year : “ Simurrum and Lullubum for the ordNUMB time were destroyed ; ”
1002,mu NUMB ceba,"NUMB years of rations ,","NUMB ( gur ) , barley rations of NUMB year ,"
1003,girisega ugnim,personnel of Ugnim,"of Ugnim ,"
1004,emeslam,"of the Emeslam ,","Babati ,"
1005,X nerigal,the temple of Nergal,… nin-inimgina ( ? ) ;
1006,in gudua,in Kutha .,in Ešnunna .
1007,nin me,"the queen of battle ,","in the queen of the Eanna temple ,"
1008,dam kiaganir,"his beloved spouse ,","her beloved wife ,"
1009,argibilu zabar,her bronze argibil-structure,"bronze ,"
1010,e geparakani,of the Gipar temple,house
1011,nigkak ce cukura,"accounts ,  barley of distribution ,",accounts of barley
1012,abamu u urlamma,"Abbamu an Ur-Lamma ,","and Ur-Lamma ,"
1013,mu en inanna mace ipa,year : “ The en- ( priest ) of Inanna by goat was found . ”,year : “ The high-priest of Inanna was named . ”
