,Sumerian - Input,English - Exact,English - Predicted
919,gemebi NUMB gin u NUMB,"the female laborers involved : NUMB and NUMB shekels workdays ,","the female laborers involved : NUMB days NUMB shekels ,"
920,ce NUMB silata bahun,"at NUMB sila3 per ( day ) hired ,",hired at NUMB sila3 barley each ;
921,cebi NUMB sila NUMB gin,"the barley involved : NUMB sila3 NUMB shekels ,",the months equivalent : NUMB sila3 NUMB shekels ;
922,a sig gaga,"labor of carrying bricks ,","labor of brick transportation ,"
923,ekibagara picahdingir,"( for ) the replacement house of Pišah-ilim ,",for the replacement facility to Persia ;
924,muku mea,"delivery of Simat-Ea ,",delivery for Ninsun ;
925,giri ickurtillat,via Adad-tillatī ;,"via Lu-Ḫurim ,"
926,mu cusuen lugale naruamah enlil ninlilra munedu,"year : “ Su-Suen , the king , Great-stele for Enlil and Ninlil erected . ”","year : “ Šū-Suen , the king , erected the great stele for Enlil and Ninlil erected . ”"
927,culgikiursakalamaka,Šulgi-ki'ursa-kalama,"say ,"
928,lu tagani,"his person in charge of sacrifices ,","the man who turned her ,"
929,alanani,a statue of him ( Šulgi ),a statue of him
930,mudu,he created .,he built .
931,alana,The statue :,"say ,"
932,a cuma,Given Strength,dedicate
933,nindara,"by Nindara ,","For Nindara ,"
934,zicagal irina,"The Inspiration of His City ,",the dam
935,KA bura,"the opening ( ? ) of the bowl ,","… , … ,"
936,ki anaka aba cu tum,dealing with the cows in the Place of An .,"from leather bags , to the Upper Sea ,"
937,u ezemaka,On the day of the festival,and Puzrum-Ninkarke
938,e ninmarka,"in the temple of Ninmar ,","of the house of Ninmar ,"
939,sag kisala daba,when the first ( offerings ? ) are taken into the courtyard :,all the harvest persons
940,NUMB dug dida,"NUMB jugs of sweet-wort ,","NUMB jugs of wort ,"
941,NUMB dug kac,"NUMB jugs of beer ,","NUMB jugs of wort ,"
942,NUMB zi lugal,"NUMB and NUMB of royal flour ,","NUMB fine flour ,"
943,NUMB gada gadul,NUMB linen cover,"NUMB linens , head ,"
944,NUMB gada guza,"and NUMB linen ( cloth ) for the throne ,","NUMB … linens ,"
945,dardu erin u gabra erin,"cedar sprouts ( ? ) and cedar 'herders' ,","( labor- ) troops , from ) the work-troops ( labor- ) troops ( of ) the work-troops ( s ) ,"
946,NUMB mana ara NUMB,"NUMB times NUMB minas of them ,",NUMB minas NUMB shekels ;
947,NUMB ku aldara,"NUMB split fish ,","NUMB fish of copper ,"
948,NUMB mun gur lugal,"NUMB royal gur of salt ,","NUMB royal ( measure ) ,"
949,NUMB naga gur,"NUMB of soda ,",NUMB of alkali-plant
950,dug sila |IGI×X|,"quart jugs of … ,","the vessels of the millworks ,"
951,NUMB ku X,"NUMB ( ? ) silver … ,",NUMB ( mana wool for ) Kubi
952,ku aba,"fish of the sea ,",From the NUMB of silver
953,har X,"silver rings ,","the river … ,"
954,NUMB dug X X,"NUMB jug of … oil ,",NUMB jug of wort …
955,nigba gacamkam,were the gifts of the artisans .,of the dumu-daba
956,girsu ce ilaka,"In Girsu , in the <month> of barley transporting ,","of the barley of the oxen-fields ,"
957,ma cu dua,a properly equipped boat,the house of the cook
958,guabata dudam,"which is to be caulked ( on its return ) from Gu'abba ,","x-agazi ,"
959,namlubeluda,the office of the 'master of ceremonies',"say ,"
960,eta izi la,( and ? ) the NUMB who bears fire from the temple,"he shall not attach ,"
961,gacamkam,belong to the artians .,"say ,"
962,bala u NUMB,A term of NUMB days,"ordNUMB day ,"
963,u NUMB,and a one-third ( prebend ),the nth day
964,e kiesaga,"in the temple of Ki-es ,","the Etemeniguru ,"
965,e girsuka NUMB,"one-third in the temple of Girsu ,","the Etemeniguru , … ,"
966,ma ec ge zal,that when the boat spends the night at the shrine,the depot of the Upper Urli .
967,u ma kare tagdabi,and when the boat lands at the quay ;,"and in the boat village barge , ditto ,"
968,nigba NUMB,an allotment of NUMB of that,"the debits ( of ) NUMB ( ? ) ,"
969,ma niginbarce deabi,"for when the boat is taken to the outer district ,","the boat of pots of the Hurtian ,"
970,nigdabi lu nudatuku,these requisitions were owed to no person .,"the man of the boundary workers ,"
971,ur gu udu egal esag,Legs of beef and mutton of the palace and the grain-stores,"seized , sheep , sheep of the palace ,"
972,u bara ningirsuka,"and the dais of Ningirsu ,","and all their sons ,"
973,namcita,"the office of the šita-priest ,","say ,"
974,kislah cuku agubi,"with its uncultivated land , subsistance plots , holy water ,",the oxen-manager of …
975,esag udu egal,"the grain-store of the palace sheep ,","sheep of the palace ,"
976,ur udu ama siki,"legs of wool-bearing mother sheep ,","the wife of Nanše of Lu-Naru'a ,"
977,NUMB sila inun,"NUMB quarts of ghee ,","and NUMB sila3 of ghee ,"
978,NUMB zulum lugal,"NUMB of royal dates ,","NUMB dates , royal ( measure ) ,"
979,NUMB gar,NUMB plus NUMB of cheese,"NUMB Lu-Gudea ,"
980,NUMB ga,"NUMB of milk ,","NUMB female kids ,"
981,NUMB sila gectin,"NUMB quarts of wine ,","NUMB lambs of Errēšum ,"
982,NUMB pec cergu,"NUMB strings of figs ,","NUMB figs , apples ;"
983,NUMB hachur cergu,"NUMB strings of apples ,","NUMB : Geme-lugal , the potter ,"
984,ninda kaskal guabace,"food for the jourey to Gu'abba ,","through bread , together or female laborers ,"
985,nigdab gacamkam,are the requisitions of the artisans .,of the nigdab Angel of
986,aca ambar tur,"The field Little Marsh ,","at the field of the … field ,"
987,aca kimura,"the field Kimura ,",field Akišaḫ ;
988,aca gecgi tur,"the field Little Canebrake ,",field “ Menkar ; ”
989,aca agectina,"Vinegar Field ,",field Akišaḫ ;
990,aca X,"the field … ,","at the field , … ;"
991,girigena gacamkam,( this ) is the list ( of fields ) of the artisans .,"x-agazi ,"
992,udu e lah,"The sheep come from ( ? ) the temple ,","the house of the Lamma temple ,"
993,mac inima,"and the goats of the word ,","grand totals of the nation ,"
994,u uliace,"Forever ,",and Puzrum-Ninkarke
995,lu gec udun inacumda,"for the NUMB who will put wood into the oven for him ( the king ) ,","… , apples ,"
996,luba lammani heme,may I be that man's guardian angel .,that man shall stay in jail
997,mumu hepade,May he invoke my name,"but the foundations ,"
998,enmu hetare,and tend to me .,"x-agazi ,"
999,NUMB amar az,NUMB bear cub,NUMB bear cubs
1000,ursuen dumulugal,"( from ) Ur-Suen , the king’s son :","Ur-Suen , prince ,"
1001,mu simurum u lulubu ara NUMB bahul,"year : “ Simurrum and Lullubu for the ordNUMB time was destroyed , ”",year : “ Simurrum and Lullubu for the ordNUMB time were destroyed . ”
1002,mu NUMB ceba,"NUMB years of rations ,",NUMB
1003,girisega ugnim,personnel of Ugnim,personnel of the stall ;
1004,emeslam,"of the Emeslam ,","say ,"
1005,X nerigal,the temple of Nergal,"…-la , Abarnum ,"
1006,in gudua,in Kutha .,in the furrows of x-alim .
1007,nin me,"the queen of battle ,","the queen of war ,"
1008,dam kiaganir,"his beloved spouse ,","his beloved wife ,"
1009,argibilu zabar,her bronze argibil-structure,"Zan-MENI , the gardener ,"
1010,e geparakani,of the Gipar temple,"the Etemeniguru ,"
1011,nigkak ce cukura,"accounts ,  barley of distribution ,",accounts of grain of
1012,abamu u urlamma,"Abbamu an Ur-Lamma ,",Abbamu and Ur-Ebabbar
1013,mu en inanna mace ipa,year : “ The en- ( priest ) of Inanna by goat was found . ”,year : “ The high-priest of Inanna was named . ”
